Composition,ln_Peq,Temperature_K,CR,FIE,BM,HF,MV,Mass,M-H_Bond,M-H_Eng,formation_H,vol_H,vol_diff,EN.Diff,Atomic.Size.Diff,dSmix
Mg0.95Sn0.03Zn0.02,-1.0246,593,130.35,7.6755,45.89,8.622,13.9514,27.9634,1.7682,-2.2394,-0.2653,63.2494,0.2645,0.1196,1.73,1.9303
Mg0.95Sn0.03Zn0.02,-1.4644,573,130.35,7.6755,45.89,8.622,13.9514,27.9634,1.7682,-2.2394,-0.2653,63.2494,0.2645,0.1196,1.73,1.9303
Mg0.95Sn0.03Zn0.02,-1.9962,553,130.35,7.6755,45.89,8.622,13.9514,27.9634,1.7682,-2.2394,-0.2653,63.2494,0.2645,0.1196,1.73,1.9303
In0.05Mg0.95,0.668,663,130.7,7.557,44.5,8.428,14.0665,28.8355,1.7765,-2.2775,-0.2565,60.409,0.268,0.1025,1,1.6506
In0.05Mg0.95,0.0504,633,130.7,7.557,44.5,8.428,14.0665,28.8355,1.7765,-2.2775,-0.2565,60.409,0.268,0.1025,1,1.6506
In0.05Mg0.95,-0.68,603,130.7,7.557,44.5,8.428,14.0665,28.8355,1.7765,-2.2775,-0.2565,60.409,0.268,0.1025,1,1.6506
In0.05Mg0.95,-1.4643,573,130.7,7.557,44.5,8.428,14.0665,28.8355,1.7765,-2.2775,-0.2565,60.409,0.268,0.1025,1,1.6506
In0.1Mg0.9,0.7513,663,131.4,7.464,44,8.156,14.153,33.361,1.783,-2.365,-0.223,60.848,0.286,0.1411,1,2.7029
In0.1Mg0.9,0.1533,633,131.4,7.464,44,8.156,14.153,33.361,1.783,-2.365,-0.223,60.848,0.286,0.1411,1,2.7029
In0.1Mg0.9,-0.4889,603,131.4,7.464,44,8.156,14.153,33.361,1.783,-2.365,-0.223,60.848,0.286,0.1411,1,2.7029
In0.1Mg0.9,-1.2389,573,131.4,7.464,44,8.156,14.153,33.361,1.783,-2.365,-0.223,60.848,0.286,0.1411,1,2.7029
In0.15Mg0.85,1.0062,673,132.1,7.371,43.5,7.884,14.2395,37.8865,1.7895,-2.4525,-0.1895,61.287,0.304,0.1679,1.41,3.5146
In0.15Mg0.85,0.3151,643,132.1,7.371,43.5,7.884,14.2395,37.8865,1.7895,-2.4525,-0.1895,61.287,0.304,0.1679,1.41,3.5146
In0.15Mg0.85,-0.131,623,132.1,7.371,43.5,7.884,14.2395,37.8865,1.7895,-2.4525,-0.1895,61.287,0.304,0.1679,1.41,3.5146
In0.15Mg0.85,-0.5918,603,132.1,7.371,43.5,7.884,14.2395,37.8865,1.7895,-2.4525,-0.1895,61.287,0.304,0.1679,1.41,3.5146
In0.2Mg0.8,0.869,663,132.8,7.278,43,7.612,14.326,42.412,1.796,-2.54,-0.156,61.726,0.322,0.1879,1.41,4.1606
In0.2Mg0.8,0.2366,633,132.8,7.278,43,7.612,14.326,42.412,1.796,-2.54,-0.156,61.726,0.322,0.1879,1.41,4.1606
In0.2Mg0.8,-0.4693,603,132.8,7.278,43,7.612,14.326,42.412,1.796,-2.54,-0.156,61.726,0.322,0.1879,1.41,4.1606
In0.2Mg0.8,-1.234,573,132.8,7.278,43,7.612,14.326,42.412,1.796,-2.54,-0.156,61.726,0.322,0.1879,1.41,4.1606
Al0.1Mg0.9,0.6849,664,128.8,7.484,48.1,8.9,13.581,24.577,1.761,-2.411,-0.274,76.668,0.318,0.09,3.16,2.7029
Al0.1Mg0.9,-0.003,633,128.8,7.484,48.1,8.9,13.581,24.577,1.761,-2.411,-0.274,76.668,0.318,0.09,3.16,2.7029
Al0.1Mg0.9,-0.8975,598,128.8,7.484,48.1,8.9,13.581,24.577,1.761,-2.411,-0.274,76.668,0.318,0.09,3.16,2.7029
Al0.1Mg0.9,-1.4074,579,128.8,7.484,48.1,8.9,13.581,24.577,1.761,-2.411,-0.274,76.668,0.318,0.09,3.16,2.7029
Al0.05In0.05Mg0.9,0.8143,667,130.1,7.474,46.05,8.528,13.867,28.969,1.772,-2.388,-0.2485,68.758,0.302,0.1187,2.45,3.2792
Al0.05In0.05Mg0.9,0.1068,634,130.1,7.474,46.05,8.528,13.867,28.969,1.772,-2.388,-0.2485,68.758,0.302,0.1187,2.45,3.2792
Al0.05In0.05Mg0.9,-0.5763,606,130.1,7.474,46.05,8.528,13.867,28.969,1.772,-2.388,-0.2485,68.758,0.302,0.1187,2.45,3.2792
Al0.05In0.05Mg0.9,-1.2033,577,130.1,7.474,46.05,8.528,13.867,28.969,1.772,-2.388,-0.2485,68.758,0.302,0.1187,2.45,3.2792
Al0.05In0.1Mg0.85,0.9381,667,130.8,7.381,45.55,8.256,13.9535,33.4945,1.7785,-2.4755,-0.215,69.197,0.32,0.1507,2.65,4.3085
Al0.05In0.1Mg0.85,0.2305,634,130.8,7.381,45.55,8.256,13.9535,33.4945,1.7785,-2.4755,-0.215,69.197,0.32,0.1507,2.65,4.3085
Al0.05In0.1Mg0.85,-0.1982,614,130.8,7.381,45.55,8.256,13.9535,33.4945,1.7785,-2.4755,-0.215,69.197,0.32,0.1507,2.65,4.3085
Al0.05In0.1Mg0.85,-0.6651,594,130.8,7.381,45.55,8.256,13.9535,33.4945,1.7785,-2.4755,-0.215,69.197,0.32,0.1507,2.65,4.3085
Al0.05In0.05Mg0.87Si0.01Zn0.02,0.7498,661,129.93,7.5138,47.1,8.916,13.7513,29.8282,1.7668,-2.4041,-0.2337,68.5278,0.3051,0.1367,4.12,4.5316
Al0.05In0.05Mg0.87Si0.01Zn0.02,0.0736,632,129.93,7.5138,47.1,8.916,13.7513,29.8282,1.7668,-2.4041,-0.2337,68.5278,0.3051,0.1367,4.12,4.5316
Al0.05In0.05Mg0.87Si0.01Zn0.02,-0.5835,603,129.93,7.5138,47.1,8.916,13.7513,29.8282,1.7668,-2.4041,-0.2337,68.5278,0.3051,0.1367,4.12,4.5316
Al0.05In0.05Mg0.87Si0.01Zn0.02,-1.3216,573,129.93,7.5138,47.1,8.916,13.7513,29.8282,1.7668,-2.4041,-0.2337,68.5278,0.3051,0.1367,4.12,4.5316
Al0.1Ga0.02In0.04Mg0.82Zn0.02,0.8212,666,129.3,7.4114,48.66,8.5932,13.5104,29.927,1.7622,-2.512,-0.2218,76.4648,0.3182,0.1442,4.12,5.6391
